Dimnames of all_slid,Specimens,NEOPAL,STAPES,VOMER,QU,JJ,SPH D,SPH V
Leptolepis occelatus CAS 253513_Fl_S_final,Leptolepis occelatus,present,present,present,present,present,present,present
Leptopelis spiritusnoclis zmb 81094_KD_S_final,Leptopelis spiritusnoclis,present,present,present,present,present,present,present
Limnomedusa macroglossa CM 55388_Fl_S_final,Limnomedusa macroglossa,present,present,present,NA,NA,present,present
Limnonectes macrocephalus KU 306056_Fl_S_final,Limnonectes macrocephalus,present,present,present,present,present,NA,present
Lithobates clamitans UF 76511_Fl_S_final,Lithobates clamitans,present,present,present,present,present,present,present
Litoria_UF109124_Fl_S_final,Litoria sp.,present,present,present,present,present,present,present
Mannophryne_hermina_ZMB_62657_MfN_S_final,Mannophryne hermina,present,present,present,present,present,present,present
Mantella_baroni_Morphosource_CAS250387_S_final,Mantella baroni,present,present,present,present,present,present,present
Melanobatrachus_indicus_S_CESF1807_0000_final,Melanobatrachus indicus,NA,NA,present,NA,NA,present,present
Melanophryniscus_stelzneri_UF63183_Fl_S_final,Melanophryniscus stelzneri,NA,NA,present,NA,NA,NA,present
Mertensophryne micranotis CAS 162553_Fl_S_final,Mertensophryne micranotis,present,NA,present,present,present,present,present
Microbatrachella_capensis_CAS-H-157008_M13938-25574_S_final,Microbatrachella capensis,present,present,present,present,present,present,present
Minervarya nilgirica MNHNRA19842337_KD_S_final,Minervarya nilgirica,present,present,present,present,present,present,present
Morerella cyanophthalma zmb 71588_KD_S_final,Morerella cyanophthalma,present,present,present,present,present,NA,present
Myobatrachus_gouldii_S_MCZ-A-139543_0000_Morphosource_final_mirrored,Myobatrachus gouldii,present,present,NA,present,present,present,present
Nasikabatrachus_sahyadrensis_CES-F-203_M12072-19513_S_final,Nasikabatrachus sahyadrensis,NA,present,present,present,present,NA,present
Natalobatrachus_bonebergi_CAS-H-156617_M13939-24519_S_final,Natalobatrachus bonebergi,present,present,present,present,present,present,present
Nectophrynoides tornieri CAS 152439_Fl_S_final,Nectophrynoides tornieri,present,present,present,present,present,present,present
Nectophrynoides vivipara zmb 48554 _KD_S_final,Nectophrynoides vivipara,present,present,present,present,present,present,present
Nothophryne_broadleyi_CAS-H-156126_M13990-25576_S_final,Nothophryne broadleyi,present,present,present,present,present,present,present
Nyctibates corrugatus CAS 256829_Fl_S_final,Nyctibates corrugatus,present,present,present,present,present,NA,present
Nyctimystes daymani UF 109158_Fl_S_final,Nyctimystes daymani,present,present,present,present,present,present,present
Nyctixalus spinosus_CAS SU 20916_Fl_S_final,Nyctixalus spinosus,present,present,present,present,present,present,present
Nyctixalus_pictus_CAS247498_Fl_S_final,Nyctixalus pictus,present,present,present,present,present,present,present
Occidozyga limba zmb 56612_KD_S_final,Occidozyga limba,present,present,present,present,present,NA,present
Odontobatrachus_natator_cas_herp_230204_M13792-24129_S_final,Odontobatrachus natator,present,NA,present,present,present,present,present
Odontophrynus americanus CM 147828_Fl_S_final,Odontophrynus americanus,present,present,present,present,present,present,present
Oreobates_quixensis_CAS SU-A-11453_M13245-22891_S_final,Oreobates quixensis,present,present,present,present,present,present,present
Osteocephalus_buckleyi_S_NHM_1970_2034_final,Osteocephalus buckleyi,present,present,present,present,present,present,present
Osteopilus_septentrionalis_UF63656_Fl_S_ornamented,Osteopilus septentrionalis,present,present,present,present,present,present,present
Paracassina obscura CAS 145354_Fl_S_final,Paracassina obscura,present,present,present,present,present,present,present
Pelobates_fuscus_UF36935_Fl_S_ornamented,Pelobates fuscus,NA,NA,present,present,present,present,present
Pelodytes_caucasicus_CAS-H-94059_M13930-24581_S_final,Pelodytes caucasicus,NA,present,present,present,present,present,present
Peltophryne_guentheri_UF104862_Fl_S_ornamented,Peltophryne guentheri,present,present,present,present,present,NA,present
Petropedetes_palmipes_ZMB_73891_MfN_S_final,Petropedetes palmipes,present,present,present,present,present,present,present
Philautus glandulosus Wien 3557-1_KD_S_final,Philautus glandulosus,present,present,present,present,present,present,present
Phlyctimantis boulengeri zmb 80664_KD_S_final,Phlyctimantis boulengeri,present,present,present,present,present,NA,present
Phrynobatrachus leveleve HOLOTYPE 218901_Fl_S_final,Phrynobatrachus leveleve,present,present,present,present,present,present,present
Phyllomedusa_azurea_MCZ-A29952_S_final,Phyllomedusa azurea,present,present,present,present,present,present,present
Pipa parva UF37924_Fl_S_final,Pipa parva,NA,present,NA,NA,present,NA,present
Pipa pipa UF 64234_Fl_S_final,Pipa pipa,NA,present,NA,NA,present,NA,present
Platymantis_polillensis_Morphosource_S_KU-H-313722_M13920-24436_final,Platymantis polillensis,present,present,present,present,present,NA,present
Plethodontohyla_notosticta_S_NHM_1925_7_2_95,Plethodontohyla notosticta,present,present,present,present,present,NA,present
Polypedates_macrotis_S_Morphosource_KU-H-327008_M13981-25850_final,Polypedates macrotis,present,NA,present,present,present,present,present
Poyntonia_paludicola_CAS-H-165936_M13992-25581_S_final,Poyntonia paludicola,present,present,present,present,present,present,present
Pristimantis chiastonotus_MNHN 1979.7847_Paris_S_final,Pristimantis chiastonotus,present,present,present,present,present,present,present
Probreviceps macrodactylus UF 111075_Fl_S_final,Probreviceps macrodactylus,NA,present,present,NA,present,present,present
Proceratophrys boiei CM 45985_Fl_S_final,Proceratophrys boiei,present,present,present,present,present,present,present
Pseudacris ornata UF 159-19_Fl_S_final,Pseudacris ornata,present,present,present,present,present,present,present
Pseudis_paradoxica_ZMB_26104_MfN_final,Pseudis paradoxica,present,present,present,present,present,present,present
Ptychadena_bibroni_skull_Paris_MNHN 1996.660_Final,Ptyachena bibroni,NA,present,present,present,present,present,present
Pyxicephalus adspersus_skull_final,Pyxicephalus adspersus,present,present,present,present,present,NA,present
Rana limnonectes zmb 56677_KD_S_final,Rana limnonectes,present,present,present,present,present,present,present
Rana_cancrivora_S_NHM_71_7_20_217_final_mirrored,Rana cancrivora,present,present,present,present,present,present,present
Rana_sylvatica_S_NHM_1976_55_final,Rana sylvatica,present,present,present,present,present,present,present
Raorchestes sp MNHN_RA_1985482_KD_S_final,Raorchestes sp.,present,present,present,present,present,present,present
Rhacophorus_reinwalti_S_dec_final,Rhacophorus reinwalti,present,present,present,present,present,present,present
